Method,GUID,Leaky,Re-use,Sync,Cache,Format,Ops/sec,Deviation,Mean,MOE,RME,Samples,SEM,Variance
crypto.randomFillSync,Y,N,Y,Y,65536,hex,1347480.228662026,2.127158981775675e-8,7.421259167512574e-7,5.211539505350404e-9,0.7022446444350744,64,2.658948727219594e-9,4.524805333748927e-16
crypto.randomFillSync,Y,N,N,Y,65536,buffer,2222221.550050406,1.8615595261732386e-8,4.50000136114834e-7,3.846021827091626e-9,0.8546712586127247,90,1.9622560342304218e-9,3.4654038694863325e-16
crypto.randomFillSync,Y,N,Y,Y,65536,buffer,2104367.7515479415,7.791974594061505e-9,4.752021120188783e-7,1.6098386295768177e-9,0.33876924972775874,90,8.21346239580009e-10,6.071486807449995e-17
crypto.randomFill,Y,N,Y,N,,hex,39516.355841468525,0.0000015242331010436244,0.000025305977201232672,3.449664253485476e-7,1.3631816017432594,75,1.760032782390549e-7,2.323286546317064e-12
crypto.randomFill,Y,N,Y,N,,buffer,40831.07161488226,0.0000016953454601735315,0.00002449115245938136,3.862766169364444e-7,1.5772088209286403,74,1.9707990660022676e-7,2.8741962293310032e-12
crypto.randomFill,Y,N,N,N,256,hex,340625.7884161322,1.7307000669035252e-7,0.000002935773021326061,3.9169429860919536e-8,1.3342117928186108,75,1.998440299026507e-8,2.995322721579867e-14
crypto.randomFill,Y,N,Y,N,256,hex,321855.36882762035,1.7287149511188155e-7,0.0000031069856117130087,3.861304906332343e-8,1.2427817147834963,77,1.9700535236389504e-8,2.9884553822217285e-14
crypto.randomFill,Y,N,N,N,256,buffer,408898.1051338826,1.3765838310927057e-7,0.0000024455970508167973,3.202060705745815e-8,1.3093165551031265,71,1.6337044417070487e-8,1.8949830440258708e-14
crypto.randomFill,Y,N,Y,N,256,buffer,387464.0664736741,1.7220889022297682e-7,0.000002580884491047234,3.950483109537665e-8,1.5306702501570286,73,2.015552606906972e-8,2.9655901871829284e-14
crypto.randomFill,Y,N,N,N,4096,hex,867676.0446212753,6.757348565214295e-8,0.0000011525038707695125,1.5293319491487647e-8,1.3269646965503454,75,7.802714026269208e-9,4.5661759631803696e-15
crypto.randomFill,Y,N,Y,N,4096,hex,850430.2111285494,5.49921322306553e-8,0.0000011758754415285488,1.261523079635292e-8,1.0728373389577792,73,6.4363422430372035e-9,3.0241346072738774e-15
crypto.randomFill,Y,N,N,N,4096,buffer,1246466.5013744358,5.05098621341044e-8,8.022678498758966e-7,1.1431457939943576e-8,1.4248929384010485,75,5.832376499971212e-9,2.5512461728062335e-15
crypto.randomFill,Y,N,Y,N,4096,buffer,1172962.6052841595,3.887553238321359e-8,8.525420976721948e-7,8.627503011500823e-9,1.0119738409466938,78,4.401787250765726e-9,1.5113070180782883e-15
crypto.randomFill,Y,N,N,N,65536,hex,974524.8234339016,5.419192513788811e-8,0.0000010261411263761679,1.2264787245975388e-8,1.1952339625338533,75,6.257544513252749e-9,2.9367647501504693e-15
crypto.randomFill,Y,N,Y,N,65536,hex,917491.3144710589,4.4977800099269525e-8,0.0000010899285739576816,9.795165354952031e-9,0.8986979136976315,81,4.997533344363281e-9,2.02300250176985e-15
crypto.randomFill,Y,N,N,N,65536,buffer,1465305.5268953491,2.6874381378886525e-8,6.82451530854984e-7,6.082245078774681e-9,0.8912347329860579,75,3.10318626468096e-9,7.222323744978428e-16
crypto.randomFill,Y,N,Y,N,65536,buffer,1323350.3966786892,4.56523656597639e-8,7.556577626830916e-7,1.0197037018372431e-8,1.3494252983210433,77,5.202569907332873e-9,2.08413849033279e-15
/dev/random,Y,N,Y,N,,hex,41563.351000919516,0.0000017183532786333495,0.00002405965774939265,3.8889995736888136e-7,1.6163985432365455,75,1.9841834559636806e-7,2.952737990189982e-12
/dev/random,Y,N,Y,Y,,hex,233827.43911275343,2.2806086515248717e-7,0.000004276658050887655,4.765028502672672e-8,1.114194412079229,88,2.4311369911595268e-8,5.201175821410093e-14
/dev/random,Y,N,Y,N,,buffer,43348.686545439705,0.000002076562485615898,0.000023068749705986195,4.935675727683359e-7,2.1395506000928095,68,2.518201901879265e-7,4.312111756667276e-12
/dev/random,Y,N,Y,Y,,buffer,282234.6799613472,2.781973654924401e-7,0.0000035431506862904047,5.87976351011231e-8,1.6594731725249552,86,2.999879341894036e-8,7.739377416693429e-14
/dev/random,Y,N,N,N,256,hex,251217.0096821764,2.3107676023281728e-7,0.0000039806221770776415,5.195239163865874e-8,1.3051324473301156,76,2.6506322264621807e-8,5.339646911969493e-14
/dev/random,Y,N,Y,N,256,hex,265264.338839887,2.415664772343853e-7,0.000003769824486674019,5.61905862255892e-8,1.4905358704156582,71,2.8668666441627146e-8,5.835436292343079e-14
/dev/random,Y,N,Y,Y,256,hex,482201.8380497904,1.1305557141607552e-7,0.000002073820382030032,2.3488378540693747e-8,1.132613930513178,89,1.198386660239477e-8,1.2781562228215352e-14
/dev/random,Y,N,N,N,256,buffer,280322.60113179527,1.9833727729418223e-7,0.0000035673184964841427,4.519023071424054e-8,1.2667843019561855,74,2.3056240160326805e-8,3.9337675564469334e-14
